ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
3,LFD,28.5,23.4,22.2,78.72,3/19/19,6
4,LFD,30.4,17.4,30,106.38,3/19/19,6
5,LFD,27,5.1,21.7,76.95,3/19/19,6
6,LFD,29,10.3,21.4,75.88,3/19/19,6
7,LFD,28.5,11.3,20.5,72.69,3/19/19,6
8,LFD,31.1,19.6,28.3,100.35,3/19/19,6
9,LFD,30.3,15.6,24.7,87.59,3/19/19,6
10,LFD,27.5,16,23.1,81.91,3/19/19,6
11,LFD,28.6,11.3,21.9,77.66,3/19/19,6
12,LFD,31,19.7,25.7,91.13,3/19/19,6
13,HFD,32.6,34.2,19.5,99.88,3/19/19,6
14,HFD,38.5,61.8,21.8,111.66,3/19/19,6
15,HFD,38.8,52.8,20.5,105,3/19/19,6
16,HFD,37.8,37.5,19.4,99.37,3/19/19,6
17,HFD,33.1,35.1,16.9,86.56,3/19/19,6
18,HFD,35.5,39.8,20.8,106.54,3/19/19,6
19,HFD,33,26.4,20.5,105,3/19/19,6
20,HFD,38,45,20.7,106.03,3/19/19,6
21,HFD,39.9,53.5,18.4,94.24,3/19/19,6
22,HFD,36,40.6,19,97.32,3/19/19,6
23,HFD,31.2,28.9,18.9,96.81,3/19/19,6
24,HFD,36.7,43.9,18.4,94.24,3/19/19,6
25,HFD+LXN,33.2,21.2,17.1,87.59,3/19/19,6
26,HFD+LXN,36.2,38.7,19.6,100.39,3/19/19,6
27,HFD+LXN,37.1,43.8,18.7,95.78,3/19/19,6
28,HFD+LXN,39.6,51.7,19.2,98.34,3/19/19,6
29,HFD+LXN,34.7,33,19.4,99.37,3/19/19,6
30,HFD+LXN,36.7,44.5,17.8,91.17,3/19/19,6
31,HFD+LXN,37.5,37.9,19.1,97.83,3/19/19,6
32,HFD+LXN,33.8,34.1,18.1,92.71,3/19/19,6
33,HFD+LXN,40.7,40.3,20.2,103.46,3/19/19,6
34,HFD+LXN,33.1,24.9,20.3,103.98,3/19/19,6
35,HFD+LXN,34.5,35.8,21.4,109.61,3/19/19,6
36,HFD+LXN,27.4,16.1,17.6,90.15,3/19/19,6
37,HFD+HXN,32.3,16.2,16.4,84,3/19/19,6
38,HFD+HXN,30.8,29.4,17.4,89.12,3/19/19,6
39,HFD+HXN,36,45.2,16.7,85.54,3/19/19,6
40,HFD+HXN,31.7,26.3,17.4,89.12,3/19/19,6
41,HFD+HXN,35.8,42.6,18.1,92.71,3/19/19,6
42,HFD+HXN,38.2,42.5,17.2,88.1,3/19/19,6
43,HFD+HXN,30.2,20.3,15.7,80.42,3/19/19,6
44,HFD+HXN,31.9,29.1,17.2,88.1,3/19/19,6
45,HFD+HXN,32.9,29.5,18.7,95.78,3/19/19,6
46,HFD+HXN,30.1,27,14.7,75.29,3/19/19,6
47,HFD+HXN,38.2,39.9,18.5,94.76,3/19/19,6
48,HFD+HXN,33.2,40.1,17.6,90.15,3/19/19,6
49,HFD+TXN,31.4,20.8,18.4,94.24,3/19/19,6
