Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER
Cycle2:14:00-15:00,LFD,light,4,0.5217625,1.821732,1.371245,0.1586698,0.7505977
Cycle2:15:00-16:00,LFD,light,4,0.5988787,2.071012,1.645076,0.1104232,0.7884826
Cycle2:16:00-17:00,LFD,light,4,0.54236,1.859411,1.547371,0.1051945,0.8286608
Cycle2:17:00-18:00,LFD,light,4,0.6622307,2.236018,2.011782,0.1107434,0.894992
Cycle2:18:00-19:00,LFD,dark,4,0.7616662,2.559093,2.358999,0.1388055,0.9230735
Cycle2:19:00-20:00,LFD,dark,4,0.8598904,2.85163,2.796773,0.1756793,0.9811584
Cycle2:20:00-21:00,LFD,dark,4,0.8888621,2.957972,2.85443,0.2253035,0.9641955
Cycle2:21:00-22:00,LFD,dark,4,0.7791237,2.591909,2.505138,0.2038597,0.9657505
Cycle2:22:00-23:00,LFD,dark,4,0.7181797,2.40014,2.270081,0.1769574,0.9442089
Cycle2:23:00-00:00,LFD,dark,4,0.8837765,2.944626,2.825352,0.2477987,0.9593101
Cycle2:00:00-01:00,LFD,dark,4,0.8375803,2.812564,2.599782,0.2596251,0.9233815
Cycle2:01:00-02:00,LFD,dark,4,0.6446315,2.177332,1.955691,0.1962891,0.8945303
Cycle2:02:00-03:00,LFD,dark,4,0.6820114,2.278771,2.157523,0.1781031,0.9446639
Cycle2:03:00-04:00,LFD,dark,4,0.7353705,2.451563,2.345901,0.1845836,0.9549239
Cycle2:04:00-05:00,LFD,dark,4,0.7973765,2.664697,2.520829,0.2052264,0.9455458
Cycle2:05:00-06:00,LFD,dark,4,0.7578236,2.547153,2.343638,0.1928557,0.9191088
Cycle1:06:00-07:00,LFD,light,5,0.5661765,1.92908,1.658022,0.2115173,0.858838
Cycle1:07:00-08:00,LFD,light,5,0.4101191,1.424805,1.10322,0.1928757,0.7725166
Cycle1:08:00-09:00,LFD,light,5,0.4615512,1.589616,1.290996,0.1932285,0.8090426
Cycle1:09:00-10:00,LFD,light,5,0.4841895,1.652618,1.407648,0.1843728,0.8500204
Cycle1:10:00-11:00,LFD,light,5,0.4277663,1.502781,1.091299,0.1709808,0.7230502
Cycle1:11:00-12:00,LFD,light,5,0.4084415,1.420256,1.094148,0.1048049,0.7658564
Cycle1:12:00-13:00,LFD,light,5,0.3737859,1.266343,1.120349,-0.03460116,0.8869565
Cycle1:13:00-14:00,LFD,light,5,0.4047053,1.367843,1.224611,-0.01749818,0.8963176
Cycle1:14:00-15:00,LFD,light,5,0.383357,1.305708,1.124311,0.006939598,0.858248
Cycle1:15:00-16:00,LFD,light,5,0.4087885,1.391024,1.203539,0.003756151,0.8631495
Cycle1:16:00-17:00,LFD,light,5,0.4036155,1.382597,1.155616,0.05906901,0.8305607
Cycle1:17:00-18:00,LFD,light,5,0.4030624,1.374394,1.176511,0.09380399,0.8545279
Cycle1:18:00-19:00,LFD,dark,5,0.520672,1.735433,1.66232,0.08505441,0.9577096
Cycle1:19:00-20:00,LFD,dark,5,0.6178349,2.068418,1.939977,0.1071475,0.9370794
Cycle1:20:00-21:00,LFD,dark,5,0.6347983,2.129026,1.979638,0.1517358,0.9290722
Cycle1:21:00-22:00,LFD,dark,5,0.6333116,2.115971,2.003753,0.1556506,0.94644
Cycle1:22:00-23:00,LFD,dark,5,0.5401889,1.81698,1.665852,0.1581084,0.913798
Cycle1:23:00-00:00,LFD,dark,5,0.4746072,1.620589,1.377377,0.112422,0.8406757
Cycle1:00:00-01:00,LFD,dark,5,0.5184681,1.747589,1.585792,0.1159995,0.9081311
Cycle1:01:00-02:00,LFD,dark,5,0.4918295,1.666813,1.472195,0.1155714,0.8793784
